timestamp,open,high,low,close,vol,holdingvol,ZTM:MACD,ZTM:RSI,ZTM:ma5,ZTM:ma7,ZTM:ma10,ZTM:ma21,lastclose,label
1272447360,3121.30,3127.3,3121.3,3126.6,1953,10593,-4.71,44.4,3121.66,3119.8,3127.23,3134.91,3121.5,1
1272447540,3126.60,3129.1,3124.2,3127.4,1474,10756,-4.39,45.2,3123.68,3121.43,3124.38,3134.88,3126.6,1
1272447720,3127.00,3130.8,3125,3130.8,1919,11085,-3.82,48.55,3125.4,3123.79,3121.88,3135,3127.4,1
1272447900,3130.60,3132.6,3129.5,3132.3,1968,11334,-3.22,50.01,3127.72,3125.93,3122.91,3134.89,3130.8,1
1272448080,3132.30,3133.3,3129.4,3130.2,1881,11241,-2.87,47.96,3129.46,3127.07,3124.33,3134.43,3132.3,-1
1272448260,3130.40,3131.6,3129.4,3130.6,1169,11244,-2.54,48.4,3130.26,3128.49,3125.96,3133.89,3130.2,1
1272448440,3130.30,3139.9,3129.5,3138.6,2055,11454,-1.61,56.24,3132.5,3130.93,3128.09,3133.81,3130.6,1
1272448620,3138.40,3142.8,3137.7,3140.1,2041,11416,-0.74,57.54,3134.36,3132.86,3129.88,3133.55,3138.6,1
1272448800,3140.10,3141.6,3138.5,3139.3,1224,11495,-0.12,56.57,3135.76,3134.56,3131.74,3133.06,3140.1,-1
1272448980,3139.50,3143.5,3138.6,3140.7,1558,11449,0.49,57.9,3137.86,3135.97,3133.66,3132.57,3139.3,1
1272449160,3140.20,3148.8,3139.7,3148.5,2109,11550,1.57,64.45,3141.44,3138.29,3135.85,3132.49,3140.7,1
1272449340,3149.00,3150.3,3147.6,3149.3,1960,11689,2.47,65.05,3143.58,3141.01,3138.04,3132.39,3148.5,1
1272449520,3149.50,3151.8,3145.8,3146.5,2095,11890,2.92,61.16,3144.86,3143.29,3139.61,3131.94,3149.3,-1
1272449700,3146.50,3149,3144.2,3144.3,1745,11913,3.07,58.21,3145.86,3144.1,3140.81,3131.39,3146.5,-1
1272449880,3144.30,3145.6,3143.5,3144.2,1320,11909,3.14,58.07,3146.56,3144.69,3142.21,3132.45,3144.3,-1
1272450060,3144.00,3145.2,3141.5,3143.2,1388,11917,3.08,56.64,3145.5,3145.24,3143.47,3133.74,3144.2,-1
1272450240,3143.20,3143.3,3139.2,3139.4,1941,12154,2.7,51.43,3143.52,3145.06,3143.55,3134.94,3143.2,-1
1272450420,3139.20,3141.4,3138.5,3140.5,1681,12139,2.45,52.79,3142.32,3143.91,3143.59,3136.04,3139.4,1
1272450600,3140.90,3141.7,3140.2,3140.8,1019,12001,2.26,53.17,3141.62,3142.7,3143.74,3136.93,3140.5,1
1272450780,3140.50,3141.7,3138,3138.8,1236,12021,1.92,50.24,3140.54,3141.6,3143.55,3137.79,3140.8,-1
1272450960,3138.90,3147.5,3138.7,3147.2,2310,11972,2.3,60.16,3141.34,3142.01,3143.42,3139.01,3138.8,1
1272451140,3147.10,3148.3,3143.8,3144.6,1898,11617,2.37,56.41,3142.38,3142.07,3142.95,3139.87,3147.2,-1
1272451320,3144.60,3144.6,3141.4,3141.4,1032,11641,2.14,52.11,3142.56,3141.81,3142.44,3140.54,3144.6,-1
1272451500,3141.40,3141.5,3135.7,3136.7,1998,11627,1.56,46.5,3141.74,3141.43,3141.68,3140.82,3141.4,-1
1272451680,3136.70,3138,3134.9,3137,1349,11746,1.11,46.89,3141.38,3140.93,3140.96,3141.04,3136.7,1
1272451860,3137.00,3138.6,3136.1,3136.6,1044,11912,0.71,46.4,3139.26,3140.33,3140.3,3141.35,3137,-1
1272452040,3136.60,3143.4,3134.9,3138.7,2179,12152,0.56,49.39,3138.08,3140.31,3140.23,3141.73,3136.6,1
1272452220,3138.70,3141.8,3138,3140.6,1825,12263,0.59,52,3137.92,3139.37,3140.24,3141.83,3138.7,1
1272452400,3140.60,3144.7,3140.1,3143.4,1751,12224,0.83,55.62,3139.26,3139.2,3140.5,3141.99,3140.6,1
1272452580,3143.40,3144.4,3142.2,3142.7,894,12268,0.95,54.51,3140.4,3139.39,3140.89,3142.15,3143.4,-1
1272452760,3142.70,3148.1,3142.5,3144.9,1360,12111,1.21,57.39,3142.06,3140.56,3140.66,3142.35,3142.7,1
1272452940,3144.90,3147.8,3143.5,3145.1,1748,11967,1.41,57.65,3143.34,3141.71,3140.71,3142.19,3144.9,1
1272453120,3145.30,3146.4,3144.5,3145.1,1006,11913,1.56,57.65,3144.24,3142.93,3141.08,3141.99,3145.1,0
1272453300,3145.30,3148.1,3144.8,3146.5,844,11898,1.77,59.67,3144.86,3144.04,3142.06,3141.99,3145.1,1
1272453480,3147.00,3147.3,3141.8,3142.3,1131,11740,1.57,51.72,3144.78,3144.29,3142.59,3141.89,3146.5,-1
1272453660,3142.30,3144.1,3141.7,3142.5,892,11709,1.42,52.05,3144.3,3144.16,3143.18,3141.81,3142.3,1
1272453840,3142.50,3143.6,3142.3,3142.5,661,11663,1.29,52.05,3143.78,3144.13,3143.56,3141.78,3142.5,0
1272454020,3142.40,3147.5,3141.4,3147.2,1367,11381,1.54,59.53,3144.2,3144.46,3144.22,3142.15,3142.5,1
1272459600,3145.80,3147.1,3143.8,3144.5,878,11588,1.5,54.29,3143.8,3144.37,3144.33,3142.34,3147.2,-1
1272459780,3144.80,3147.1,3142.5,3145.9,1080,11749,1.57,56.43,3144.52,3144.49,3144.65,3142.58,3144.5,1
1272459960,3145.90,3146.1,3142.8,3143.4,724,11780,1.41,51.77,3144.7,3144.04,3144.5,3142.8,3145.9,-1
1272460140,3143.40,3145.3,3141.7,3143.8,1081,11772,1.3,52.44,3144.96,3144.26,3144.37,3142.64,3143.4,1
1272460320,3143.80,3147.2,3143.6,3144.7,1261,11812,1.26,54.01,3144.46,3144.57,3144.33,3142.64,3143.8,1
1272460500,3144.70,3146.1,3142.3,3142.6,1065,11842,1.06,49.88,3144.08,3144.59,3143.94,3142.7,3144.7,-1
1272460680,3142.60,3144.2,3136.9,3137,2021,11797,0.44,40.91,3142.3,3143.13,3143.41,3142.71,3142.6,-1
1272460860,3137.00,3137.7,3132.2,3133.8,2222,11928,-0.31,36.83,3140.38,3141.6,3142.54,3142.56,3137,-1
1272461040,3133.50,3134.9,3132.5,3132.5,1608,11915,-0.99,35.29,3138.12,3139.69,3141.54,3142.37,3133.8,-1
1272461220,3132.60,3133.2,3129.7,3131.5,2015,11792,-1.6,34.11,3135.48,3137.99,3139.97,3142.02,3132.5,-1
1272461400,3131.50,3134.3,3129.5,3132,1813,11520,-2.02,35.28,3133.36,3136.3,3138.72,3141.61,3131.5,1
1272461580,3131.70,3133.8,3130.5,3130.5,1604,11686,-2.44,33.37,3132.06,3134.27,3137.18,3141,3132,-1
1272461760,3130.60,3131.3,3127.1,3128.4,1782,11731,-2.91,30.86,3130.98,3132.24,3135.68,3140.32,3130.5,-1
1272461940,3128.40,3130.3,3127.7,3129.2,1352,11799,-3.18,32.93,3130.32,3131.13,3134.22,3139.57,3128.4,1
1272462120,3129.00,3130.2,3128.6,3129.7,1039,11939,-3.32,34.26,3129.96,3130.54,3132.72,3138.84,3129.2,1
1272462300,3129.70,3130.9,3129.2,3130.2,1009,11916,-3.35,35.63,3129.6,3130.21,3131.48,3138.13,3129.7,1
1272462480,3130.20,3134.7,3130,3134.1,1466,11700,-3.02,45.23,3130.32,3130.59,3131.19,3137.54,3130.2,1
1272462660,3133.50,3135.8,3133,3135.7,1307,11668,-2.6,48.62,3131.78,3131.11,3131.38,3137.22,3134.1,1
1272462840,3135.70,3135.8,3134.4,3134.4,1029,11750,-2.35,46.12,3132.82,3131.67,3131.57,3136.84,3135.7,-1
1272463020,3134.80,3138.3,3134.4,3135.6,1487,11646,-2.03,48.74,3134,3132.7,3131.98,3136.51,3134.4,1
1272463200,3135.60,3136.8,3131.5,3131.5,1377,11627,-2.08,41.35,3134.26,3133.03,3131.93,3135.76,3135.6,-1
1272463380,3131.40,3133.1,3130.7,3133.1,1237,11586,-1.97,44.86,3134.06,3133.51,3132.19,3135.22,3131.5,1
1272463560,3133.00,3142.7,3133,3142.6,2584,11656,-1.11,60.13,3135.44,3135.29,3133.61,3135.06,3133.1,1
1272463740,3142.60,3150.2,3142.3,3150,2873,11528,0.18,67.64,3138.56,3137.56,3135.69,3135.38,3142.6,1
1272463920,3150.20,3151.7,3147.6,3148,2013,11374,1.02,64.12,3141.04,3139.31,3137.52,3135.58,3150,-1
1272464100,3148.30,3149.3,3146.3,3147,1463,11528,1.59,62.38,3144.14,3141.11,3139.2,3135.69,3148,-1
1272464280,3147.00,3147.2,3143.4,3144.2,1561,11561,1.79,57.64,3146.36,3142.34,3140.21,3135.76,3147,-1
1272464460,3144.20,3148.3,3142.7,3144.9,1717,11586,1.99,58.49,3146.82,3144.26,3141.13,3136.14,3144.2,1
1272464640,3144.20,3145.2,3142.9,3143.9,1059,11562,2.04,56.74,3145.6,3145.8,3142.08,3136.62,3144.9,-1
1272464820,3143.70,3148.4,3142.9,3145.5,1663,11541,2.18,58.86,3145.1,3146.21,3143.07,3137.24,3143.9,1
1272465000,3146.50,3148.7,3146.2,3146.7,1379,11556,2.37,60.43,3145.04,3145.74,3144.59,3137.96,3145.5,1
1272465180,3146.70,3148.9,3146.6,3148.9,1069,11523,2.66,63.19,3145.98,3145.87,3146.17,3138.77,3146.7,1
1272465360,3148.90,3154.6,3147.2,3153.1,2054,11472,3.19,67.82,3147.62,3146.74,3147.22,3139.84,3148.9,1
